No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
84;Big Scale Racing;FreeTrack20;V160;;;8301;0054C1D0A1C87957F0FE00
30;Birds of Prey;FreeTrack20;V160;;;1601;001EE77821649406245700
263;Black Shark;FreeTrack20;V170;;;1003;03EBB6DCD15F5A572F6500
432;Boeing;FreeTrack20;V160;;;20351;01B00D0EFE298BFC60E800
343;Boeing Demo;FreeTrack20;V160;;;20350;01578C15DC16F5E33C7D00
319;Bomber Squadron;FreeTrack20;V160;;;1850;013F72BF1D9C6B401DF700
260;Brain-IT Group;FreeTrack20;V160;;;20050;0104E1F4D6FD674A4E2500
173;Brothers In Arms;FreeTrack20;V160;;;13501;00ADC07FF4B1A6E948B600
347;Bus Simulator;FreeTrack20;V160;;;2225;015BC403649A5E94E6E500
51;C-Spine;FreeTrack20;V160;;;4901;003395D3663BFBDB6E9A00
422;C.A.R.S.;FreeTrack20;V170;;;2825;0B0998EFE2EB6EE8E11300
397;C.U.B.;FreeTrack20;V160;;;20505;018DD932954533C2E0F400
287;CameraGripTools;FreeTrack20;V160;;;20150;011F7251EA4A4FAD775A00
355;Caterpillar Simulators;FreeTrack20;V160;;;23080;016329AAA37A9155096E00
114;CCG Metamedia;FreeTrack20;V160;;;20009;0072377014025EB6EA6C00
353;CEWIT Immersive Cabin;FreeTrack20;V160;;;20370;0161EFC951AECEF8DAFE00
447;Chopper;FreeTrack20;V160;;;3150;01BFD5440436C35DE79500
412;Clearbox;FreeTrack20;V160;;;20565;019CF54508C25F035DF500
394;CNKFsoft;FreeTrack20;V160;;;20495;018A43B91FFF38CB80DF00
474;Cognitics;FreeTrack20;V160;;;20760;01DA28209057E9FA6E3500
111;Colin McRae Rally 04;FreeTrack20;V160;;;8103;006FF602A2B72A614B6E00
356;Comanche;FreeTrack20;V160;;;2275;01646664AEA1A895F0A000
14;Combat Flight Simulator 3;FreeTrack20;V160;;;2304;000E8158E318F88163F500
34;Combat Helo;FreeTrack20;V160;;;2001;002299B710843501AFD700
98;Commandos Strike Force;FreeTrack20;V160;;;8801;0062114D555A837B30CC00
125;Concept RS;FreeTrack20;V160;;;10701;007DA1423E0ED64CF47500
59;Condor: The Competitive Soaring Simulator;FreeTrack20;V160;;;5901;003BE833A39AE3D29DEA00
331;Conflict Taiwan;FreeTrack20;V160;;;1950;014BA899879AE5481B2B00
409;Corys;FreeTrack20;V160;;;20550;0199116C7DE46E17A64400
151;Counter Strike;FreeTrack20;V160;;;12501;0097DF722038FD4EA14D00
254;Crane Simulator;FreeTrack20;V160;;;20048;00FEE4AAE7A954FA604E00
56;Crashday;FreeTrack20;V160;;;5601;0038C174E71FFD977CCC00
297;Creanex Training Simulator;FreeTrack20;V160;;;20205;01292F5C1B72857ADDA400
153;Creative Labs headset;FreeTrack20;V160;;;20018;009957727B42043CBA9E00
50;Cross Racing Championship;FreeTrack20;V160;;;4801;0032F7DE5B26B334981B00
283;Crysis Mod;FreeTrack20;V160;;;1625;011B1BC6B04FFEF5AD1400
209;Crystal Growth Simulation;FreeTrack20;V160;;;20029;00D13F3A4838913A44B400
424;Crytek;FreeTrack20;V170;;;2775;0AD7D5F1EBBAD81C714600
218;D2x-XL;FreeTrack20;V160;;;16001;00DA79A678C0682E30A200
77;Dark Horizons Lore;FreeTrack20;V160;;;7901;004D45698776A20C324200
277;Dawn of Aces - Gold Edition;FreeTrack20;V170;;;1304;0518A9ED7700814190DE00
78;Dawn of Aces II;FreeTrack20;V160;;;1302;004E03B6D3AC5C15BA1900
372;DBS WalkAndFollow;FreeTrack20;V160;;;2525;0174177CDE734882A0B000
373;DCS: A-10C;FreeTrack20;V170;;;1006;03EEF688FC9B0556868F00
121;Dead Reckoning;FreeTrack20;V160;;;10401;0079E323618912A95D5200
217;Delivery;FreeTrack20;V160;;;15901;00D9802203B1DCC5AA3700
458;Demon Core;FreeTrack20;V160;;;3225;01CA1F069F2057F4D8CA00
214;DiRT;FreeTrack20;V160;;;8104;00D6A15BCEFEF6B4ABFE00
339;DiRT 2;FreeTrack20;V170;;;8107;1FAB7815C5379491C73300
401;DiRT 3;FreeTrack20;V170;;;8108;1FACABA016ED2DFBDF6F00
445;Door3;FreeTrack20;V160;;;20665;01BDA4ECFD45C5FE5EBD00
228;Down In Flames;FreeTrack20;V160;;;1025;00E4BF608EBF49484EEB00
312;Driver Test;FreeTrack20;V160;;;20265;013849AE3B289D1DC1A200
182;Driver's Republic;FreeTrack20;V160;;;14001;00B6150AA00D9AD19E9B00
52;DriveSim;FreeTrack20;V160;;;5001;00343807CA4E9EA3103800
164;Driving Simulator;FreeTrack20;V160;;;13001;00A4B63D9ADBCB2AC2CE00
366;dSphere TBA;FreeTrack20;V160;;;2425;016E5D8D2C83442CED7000
434;DTS;FreeTrack20;V160;;;20625;01B2CF28A299FE354DC100
282;Dungeons and Dragons Online;FreeTrack20;V170;;;1575;0627BD4D4DDC6BB6818800
342;DY Demo;FreeTrack20;V160;;;20345;0156D9F373562BF31DE700
325;EADS Testing;FreeTrack20;V160;;;20303;0145D15AC1FE3D41403900
491;EAFIT;FreeTrack20;V160;;;20810;01EB99C66DF0A1F91DC100
143;Eagle Lander 3D;FreeTrack20;V160;;;11901;008F53F747F03F272D4300
303;EasyVR;FreeTrack20;V160;;;20220;012F8604205595E8B41B00
417;ECA-Sindel;FreeTrack20;V160;;;20590;01A1B9A2A3B8244B13E000
495;Elite: Dangerous;FreeTrack20;V170;;;3475;0D93A9485EECA12E18BE00
468;Embers of Caerus;FreeTrack20;V170;;;3275;0CCB4134258D7E10119E00
360;EMS Simulations;FreeTrack20;V160;;;20390;0168F93B8F6B68F7D55B00
221;Enemy Engaged 2;FreeTrack20;V160;;;2102;00DDEFCE2BF04CB9E42B00
10;Enemy Engaged: Commanche vs Hokum;FreeTrack20;V160;;;2101;000A5A1B0A415F3F531300
329;Envision TE;FreeTrack20;V160;;;20320;0149BD94BDE99C25D2B300
369;EON Reality;FreeTrack20;V160;;;20410;017121A16682A941225300
455;eSigma;FreeTrack20;V160;;;20700;01C78A514A66DC74D00700
266;Euro Truck Simulator;FreeTrack20;V160;;;13602;010AA042E7114092378600
142;EVE Online;FreeTrack20;V160;;;11801;008E9A8A9BEFF713DBBE00
147;Eventology;FreeTrack20;V160;;;12201;009341C3C7271FE1474000
234;EVOC-101 Training;FreeTrack20;V160;;;20038;00EA0EEDE621545A0D7400
196;Evochron Alliance 2.0;FreeTrack20;V160;;;14904;00C430A7928686E1E29900
294;Evochron Legends;FreeTrack20;V160;;;14906;0126357B0DB28B9A7F7F00
352;Evochron Mercenary;FreeTrack20;V160;;;14907;01608A58CD8C53BBC30100
227;Evochron Renegades;FreeTrack20;V160;;;14905;00E3000A941E27BA776000
368;EZCA;FreeTrack20;V160;;;2475;01709579943E9C0D409E00
300;F-22 Total Air War;FreeTrack20;V160;;;1750;012CA6CCB21E416A793200
292;F-35 PTA;FreeTrack20;V160;;;20185;01249D0534901AB137A100
430;F-Trainer;FreeTrack20;V160;;;20615;01AEB888F96E2752298A00
429;F1 2011;FreeTrack20;V170;;;8109;1FAD265ECD74893EA12900
